order_date,ship_date,customer_name
01-01-2011,01-06-2011,Toby Braunhardt
01-01-2011,01-08-2011,Joseph Holt
01-01-2011,01-05-2011,Annie Thurman
01-01-2011,01-05-2011,Eugene Moren
01-01-2011,01-08-2011,Joseph Holt
01-01-2011,01-08-2011,Joseph Holt
01-02-2011,01-06-2011,Magdelene Morse
01-03-2011,01-03-2011,Kean Nguyen
01-03-2011,01-09-2011,Ken Lonsdale
01-03-2011,01-07-2011,Lindsay Williams
01-03-2011,01-07-2011,Larry Blacks
01-03-2011,01-07-2011,Larry Blacks
01-03-2011,01-07-2011,Dorothy Dickinson
01-03-2011,01-09-2011,Dennis Pardue
01-03-2011,01-09-2011,Ken Lonsdale
01-03-2011,01-07-2011,Stewart Visinsky
01-03-2011,01-07-2011,Jas O'Carroll
01-03-2011,01-09-2011,Ken Lonsdale
01-03-2011,01-09-2011,Ken Lonsdale
01-03-2011,01-08-2011,Chris McAfee
01-03-2011,01-03-2011,Kean Nguyen
01-03-2011,01-08-2011,Nat Gilpin
01-03-2011,01-07-2011,Jas O'Carroll
01-03-2011,01-08-2011,Jack Garza
01-03-2011,01-07-2011,Lindsay Williams
01-03-2011,01-07-2011,Larry Blacks
01-03-2011,01-07-2011,Jas O'Carroll
01-04-2011,01-09-2011,Russell Applegate
01-04-2011,01-09-2011,Maya Herman
01-04-2011,01-11-2011,Beth Thompson
01-04-2011,01-08-2011,Arthur Prichep
01-04-2011,01-09-2011,Russell Applegate
01-04-2011,01-09-2011,Maya Herman
01-04-2011,01-11-2011,Beth Thompson
01-04-2011,01-08-2011,Arthur Wiediger
01-04-2011,01-08-2011,Arthur Wiediger
01-04-2011,01-08-2011,Arthur Wiediger
01-04-2011,01-09-2011,Grant Thornton
01-04-2011,01-08-2011,Darren Powers
01-04-2011,01-08-2011,Bradley Drucker
01-04-2011,01-09-2011,Grant Thornton
01-04-2011,01-08-2011,Jasper Cacioppo
01-04-2011,01-08-2011,Jasper Cacioppo
01-05-2011,01-09-2011,Jennifer Halladay
01-05-2011,01-07-2011,Michael Granlund
01-05-2011,01-07-2011,Michael Granlund
01-05-2011,01-09-2011,Phillina Ober
01-05-2011,01-11-2011,Shaun Weien
01-05-2011,01-09-2011,Phillina Ober
01-05-2011,01-09-2011,Phillina Ober
01-06-2011,01-09-2011,Shahid Hopkins
01-06-2011,01-10-2011,Brosina Hoffman
01-06-2011,1/13/2011,Robert Dilbeck
01-06-2011,01-10-2011,Brosina Hoffman
01-06-2011,1/13/2011,Robert Dilbeck
01-06-2011,01-11-2011,Grace Kelly
01-06-2011,01-10-2011,Khloe Miller
01-06-2011,1/13/2011,Mick Brown
01-07-2011,01-11-2011,Maria Etezadi
01-07-2011,01-11-2011,Maria Etezadi
01-07-2011,01-11-2011,Maria Etezadi
01-07-2011,01-10-2011,Stewart Visinsky
01-07-2011,01-11-2011,Maribeth Schnelling
01-07-2011,01-11-2011,Maribeth Schnelling
01-07-2011,01-08-2011,Dave Poirier
01-07-2011,01-11-2011,Maribeth Schnelling
